"","sub","mu_1_htgt/hdst_.2","mu_1_htgt/ldst_.2","mu_1_ltgt/ldst_.2","mu_1_ltgt/hdst_.2","mu_1_htgt/hdst_.5","mu_1_htgt/ldst_.5","mu_1_ltgt/ldst_.5","mu_1_ltgt/hdst_.5","mu_1_htgt/hdst_.8","mu_1_htgt/ldst_.8","mu_1_ltgt/ldst_.8","mu_1_ltgt/hdst_.8","mu_2_htgt/hdst_.2","mu_2_htgt/ldst_.2","mu_2_ltgt/ldst_.2","mu_2_ltgt/hdst_.2","mu_2_htgt/hdst_.5","mu_2_htgt/ldst_.5","mu_2_ltgt/ldst_.5","mu_2_ltgt/hdst_.5","mu_2_htgt/hdst_.8","mu_2_htgt/ldst_.8","mu_2_ltgt/ldst_.8","mu_2_ltgt/hdst_.8","vari_1_htgt/hdst_.2","vari_1_htgt/ldst_.2","vari_1_ltgt/ldst_.2","vari_1_ltgt/hdst_.2","vari_1_htgt/hdst_.5","vari_1_htgt/ldst_.5","vari_1_ltgt/ldst_.5","vari_1_ltgt/hdst_.5","vari_1_htgt/hdst_.8","vari_1_htgt/ldst_.8","vari_1_ltgt/ldst_.8","vari_1_ltgt/hdst_.8","vari_2_htgt/hdst_.2","vari_2_htgt/ldst_.2","vari_2_ltgt/ldst_.2","vari_2_ltgt/hdst_.2","vari_2_htgt/hdst_.5","vari_2_htgt/ldst_.5","vari_2_ltgt/ldst_.5","vari_2_ltgt/hdst_.5","vari_2_htgt/hdst_.8","vari_2_htgt/ldst_.8","vari_2_ltgt/ldst_.8","vari_2_ltgt/hdst_.8"
"1",1,0.446,0.496,0.5215,0.667,0.5055,0.4725,0.502,0.648,0.4465,0.423,0.465,0.47,0.621,0.563,0.704,0.7525,0.533,0.495,0.528,0.61,0.467,0.431,0.451,0.476,0.0230132857142857,0.00661195555555555,0.0305128571428571,0.0191355666666667,0.00938916923076923,0.00522863525641026,0.00606628571428572,0.0110006893939394,0.00357381294452347,0.00670643049932524,0.00431205546218487,0.0166057085020243,0.0189217333333333,0.0113691666666667,0.0227086222222222,0.00592466666666667,0.00996466366366366,0.00849429089615932,0.00575241680672269,0.0164720620782726,0.00428214979757085,0.00497368253968254,0.00387487411095306,0.0196174534534535
"2",2,0.558,0.563,0.65,0.62,0.558,0.615,0.5645,0.6055,0.521,0.529,0.563,0.544,0.5265,0.468,0.582,0.6075,0.555,0.547,0.531,0.534,0.507,0.5035,0.5285,0.527,0.00891314285714286,0.00556298214285714,0.0299016944444444,0.0147541944444444,0.00624431092436975,0.0107863896825397,0.0125537420634921,0.0105247134920635,0.00719489075630252,0.0078883657219973,0.00686562483130904,0.00792362078272604,0.00949507142857143,0.004899,0.0121045714285714,0.0116752678571429,0.00520663361344538,0.010526681511471,0.00443314564564564,0.00854133143669986,0.00343600757575758,0.00602332301587302,0.0102351237553343,0.0105370855855856
"3",3,0.698,0.6,0.588,0.57,0.578,0.554,0.548,0.575,0.5235,0.634,0.5205,0.5705,0.5425,0.504,0.4585,0.714,0.504,0.5255,0.4835,0.591,0.5025,0.5435,0.495,0.54,0.0191384444444444,0.0174269444444444,0.0216647857142857,0.0414826944444444,0.0164347344537815,0.0129428428030303,0.0109408849206349,0.0109533182795699,0.0118794988505747,0.0120649962121212,0.00793413547237077,0.0101125918003565,0.0503893666666667,0.0436799444444444,0.0262942333333333,0.0893574285714286,0.0127780418353576,0.00871919786096257,0.00931602852049911,0.0164185911330049,0.0192300658730159,0.0121841712643678,0.0155528468253968,0.0108269873015873
"4",4,0.5925,0.558,0.485,0.4995,0.511,0.5245,0.489,0.568,0.463,0.463,0.4975,0.5075,0.41,0.47,0.448,0.4425,0.414,0.4235,0.429,0.493,0.407,0.468,0.406,0.437,0.0230973666666667,0.0126410714285714,0.00419447619047619,0.00528346666666667,0.00878673978494624,0.0118587701612903,0.0117179375,0.0170767554112554,0.0066153428030303,0.00763634,0.00844789415322581,0.00518125396825397,0.0150635,0.0020023,0.00117147619047619,0.00662296666666667,0.0110292178030303,0.0110207379032258,0.0051484705882353,0.0153720276679842,0.01086225,0.0108956795698925,0.00876964682539683,0.0122171185770751
"5",5,0.4875,0.4665,0.495,0.534,0.4705,0.516,0.442,0.518,0.431,0.536,0.434,0.521,0.334,0.348,0.3615,0.417,0.364,0.4645,0.3775,0.415,0.356,0.4295,0.3425,0.424,0.00932795555555556,0.0110586666666667,0.00786611111111111,0.00797136666666667,0.015932903968254,0.010489604743083,0.00556735585585586,0.00423487464387464,0.0115617206349206,0.0144069881422925,0.004353669365722,0.011813396011396,0.0159852380952381,0.00286033333333333,0.00447564285714286,0.0102303,0.00510123076923077,0.0105577415384615,0.0114804206773619,0.00735169384057971,0.0117433275862069,0.0161245333333333,0.00833540211640212,0.0159155438596491
"6",6,0.547,0.475,0.5495,0.626,0.496,0.498,0.554,0.5385,0.4805,0.455,0.5255,0.5175,0.538,0.479,0.5555,0.58,0.522,0.5045,0.536,0.597,0.529,0.481,0.514,0.552,0.00206461111111111,0.00451202777777777,0.00487971428571429,0.00981490476190476,0.00577578678678679,0.0190521136363636,0.0145026936936937,0.0228907682539683,0.00582517538461538,0.0124520927419355,0.0179473296370968,0.0191309385026738,0.00939455357142857,0.00591364285714286,0.00472798214285714,0.0096615,0.00526079734848485,0.0145326634920635,0.0142816,0.0232993247311828,0.00889337478991597,0.0102066285714286,0.00677264367816092,0.0107701731092437
"7",7,0.4875,0.609,0.4565,0.732,0.474,0.512,0.5005,0.563,0.471,0.514,0.486,0.56,0.4695,0.526,0.461,0.681,0.4565,0.479,0.4355,0.7485,0.414,0.478,0.4405,0.518,0.00757992857142857,0.0488373333333333,0.00340555357142857,0.0385395833333333,0.0103539159663866,0.007154291005291,0.0142909828629032,0.0459778066666667,0.0098418428030303,0.011346853968254,0.0101145416666667,0.0414088066666667,0.0158359821428571,0.02271125,0.00348966666666667,0.00847033333333333,0.0171993830645161,0.0126188365591398,0.0174070338680927,0.0439357342105263,0.00847229915966386,0.0109151025641026,0.0120613296370968,0.0273684472934473
"8",8,0.504,0.442,0.511,0.657,0.556,0.485,0.512,0.657,0.595,0.487,0.5425,0.628,0.5515,0.47,0.555,0.6325,0.561,0.48,0.521,0.633,0.5435,0.498,0.553,0.616,0.008997,0.00190961111111111,0.00592644444444445,0.0184322380952381,0.0101415402298851,0.0121832521008403,0.0179194474153298,0.0323817635327635,0.02595674,0.0124171893939394,0.0121643315508021,0.0244424580645161,0.0128317666666667,0.000574566666666666,0.0391577,0.0473458392857143,0.0156527692307692,0.0188489791666667,0.0163101674876847,0.0287679173789174,0.0130576653439153,0.0162176096866097,0.0190841666666667,0.031231849002849
"9",9,0.57,0.617,0.553,0.5995,0.48,0.542,0.508,0.556,0.453,0.5075,0.466,0.495,0.302,0.485,0.2615,0.351,0.334,0.36,0.311,0.394,0.2925,0.404,0.302,0.384,0.00997398214285714,0.00611475,0.0145472777777778,0.00332707142857143,0.00859080780780781,0.0121736795698925,0.0105162806722689,0.0202561553030303,0.00700552552552553,0.00983916927453769,0.0124490985155196,0.00707519682539682,0.0608235,0.0412143333333333,0.0105716964285714,0.00595733333333334,0.0126141212121212,0.0215846666666667,0.018576527027027,0.0129871520467836,0.0126330753968254,0.0140298947368421,0.0206312973484848,0.0127774619047619
"10",10,0.525,0.465,0.496,0.547,0.5065,0.402,0.4145,0.485,0.38,0.385,0.3605,0.368,0.5585,0.5065,0.509,0.495,0.424,0.376,0.427,0.5245,0.371,0.365,0.3715,0.384,0.00146696666666667,0.00100233333333333,0.0150755,0.00488580952380952,0.0256494838709677,0.00520378494623656,0.00665843226381462,0.0151994,0.00307974920634921,0.00484673423423424,0.00269751604278075,0.00599498128342246,0.00454907142857143,0.00450769642857143,0.0052385,0.00644966666666667,0.0091369009009009,0.00384040682788051,0.0092996021021021,0.0147089183006536,0.00214203778677463,0.00310311470985155,0.00287148221906117,0.00636061587301587
"11",11,0.412,0.473,0.3885,0.571,0.404,0.4805,0.417,0.517,0.3775,0.421,0.367,0.3935,0.344,0.414,0.405,0.425,0.384,0.456,0.364,0.418,0.355,0.411,0.345,0.404,0.00615128571428572,0.0356972,0.0144626666666667,0.0254218,0.00670830026455027,0.0101556796536797,0.00712370053475936,0.00938779032258065,0.00452608492063492,0.00322476353276353,0.00288042613636364,0.0030864329004329,0.0131255,0.0516676666666667,0.0125253,0.0590842380952381,0.00695236995967742,0.00842105591397849,0.00624481846153846,0.0062455197044335,0.00623832643678161,0.00341519663865546,0.00271488608870968,0.00597316028225806
"12",12,0.3535,0.329,0.3475,0.508,0.366,0.434,0.3695,0.4555,0.371,0.419,0.37,0.452,0.265,0.318,0.2705,0.3085,0.275,0.3105,0.2855,0.269,0.292,0.266,0.303,0.266,0.00785506666666667,0.00622733333333333,0.00247641071428571,0.0206603,0.00476660695187166,0.0126633333333333,0.0099788835978836,0.0137202536231884,0.00504313949579832,0.00702195862068966,0.0043479678030303,0.0291284285714286,0.0045015,0.00271157142857143,0.0027645,0.00910856666666666,0.00432496989247312,0.00423056,0.00532498461538462,0.0158689986772487,0.00425924876847291,0.00841814035087719,0.00585971794871795,0.0231962573099415
"13",13,0.5145,0.48,0.5975,0.638,0.5,0.4535,0.521,0.545,0.496,0.46,0.486,0.569,0.554,0.519,0.5205,0.524,0.508,0.461,0.523,0.531,0.476,0.453,0.484,0.525,0.0185885714285714,0.00430994444444444,0.0103073571428571,0.00567595238095238,0.00293773484848485,0.0115619608819346,0.00576220060483871,0.0074739053030303,0.0068380018939394,0.00479202142857143,0.00995727361853833,0.0259176666666667,0.00464944444444444,0.00265462222222222,0.00772542857142857,0.00372111111111111,0.00481867825311943,0.00618732582582583,0.00243908739495798,0.00622315864527629,0.00676801680672269,0.00334934957983193,0.00671754920634921,0.0147364214285714
"14",14,0.472,0.507,0.483,0.6695,0.438,0.4335,0.469,0.517,0.405,0.425,0.4145,0.44,0.521,0.407,0.568,0.484,0.4355,0.442,0.49,0.484,0.4385,0.4045,0.4375,0.429,0.0120496944444444,0.04842975,0.00215026785714286,0.0216199285714286,0.00444952702702703,0.00985811408199643,0.00542181294452347,0.00659889572192513,0.00375307827260459,0.00577192234848485,0.00376593253968254,0.0129077892473118,0.00799077777777778,0.0198007857142857,0.00496169444444444,0.03596,0.00562734285714286,0.00734981825396825,0.00664699920634921,0.0117902857142857,0.00524608250355619,0.00656441820768136,0.00399156756756757,0.0188536951951952
"15",15,0.493,0.548,0.4645,0.549,0.4875,0.391,0.5075,0.585,0.521,0.392,0.4725,0.5445,0.4175,0.382,0.514,0.616,0.421,0.379,0.4555,0.5325,0.451,0.3685,0.458,0.53,0.016035,0.0135801944444444,0.00761373333333333,0.0266169821428571,0.0166249714285714,0.00725891092436975,0.0111276063492063,0.0160885992063492,0.0130456325757576,0.00882034920634921,0.0097967495543672,0.0213641357142857,0.0076209,0.00397319444444444,0.0189636964285714,0.0304722380952381,0.00785896559139785,0.00404728879892038,0.00950728492063492,0.0145658172413793,0.00955063492063492,0.00484921763869132,0.00651337987987988,0.0132638731182796
"16",16,0.601,0.504,0.5225,0.508,0.537,0.5155,0.556,0.578,0.508,0.528,0.572,0.553,0.4525,0.473,0.5705,0.481,0.502,0.457,0.552,0.516,0.517,0.4485,0.523,0.549,0.0100199821428571,0.01009675,0.0079764,0.00260847619047619,0.00795686451612903,0.00991905971479501,0.00559102857142857,0.0191173295454545,0.00666645882352941,0.00680878431372549,0.00652504734848485,0.00583960810810811,0.00683266666666667,0.0186521777777778,0.0109944555555556,0.007553125,0.00921741176470588,0.00768374774774775,0.00791643596059113,0.0175036136363636,0.0126124643678161,0.0118070903271693,0.00624873484848485,0.0127807803030303
"17",17,0.646,0.691,0.592,0.753,0.545,0.632,0.516,0.637,0.517,0.591,0.4985,0.6495,0.655,0.5595,0.521,0.8035,0.508,0.563,0.523,0.6585,0.5155,0.554,0.496,0.642,0.0208682380952381,0.0061407,0.0136528611111111,0.0104284761904762,0.00773502840909091,0.00854777016129032,0.0057043185483871,0.00796636989247312,0.00784293252361673,0.00929674384236453,0.00873805704099822,0.017692275862069,0.0602614107142857,0.00462476666666666,0.0105092678571429,0.0176690666666667,0.00705429206349206,0.0078452012012012,0.00507866755793226,0.0164353315217391,0.00912286007130125,0.0055740218487395,0.00940333949579832,0.0153694153846154
"18",18,0.84,0.7815,1.026,1.199,0.6705,0.894,0.682,0.97,0.5825,0.6595,0.5715,0.632,0.903,1.847,0.783,0.887,0.67,0.727,0.584,0.753,0.531,0.6,0.537,0.58,0.1200547,0.035246,0.495147366666667,0.1002393,0.0120848565062389,0.125950397727273,0.0179235462184874,0.193209684920635,0.012359627311522,0.0179702373015873,0.00581339118065434,0.0212372477477478,0.05888975,0.4647373,0.0278087857142857,0.0336455833333333,0.0207338353576248,0.110489231932773,0.0188544416785206,0.1498225625,0.00781015931721195,0.0247034324324324,0.00466941025641026,0.0688532361673414
"19",19,0.741,0.675,0.688,0.721,0.6095,0.693,0.6075,0.685,0.598,0.64,0.58,0.694,0.623,0.513,0.595,0.706,0.572,0.616,0.598,0.636,0.5405,0.614,0.5965,0.682,0.0366599523809524,0.0189011944444444,0.0136122678571429,0.0186914761904762,0.00618678968253968,0.014721207977208,0.00916025634920635,0.0135653913978495,0.0152306231231231,0.0111534907563025,0.0182919219219219,0.0135768825757576,0.0106627,0.00592626666666666,0.0274149444444444,0.00447598214285714,0.010287036036036,0.0184751761363636,0.0123767071428571,0.0109962933333333,0.0108535757575758,0.0207450345345345,0.0173811142857143,0.0119329984615385
"20",20,0.462,0.386,0.4265,0.519,0.448,0.426,0.437,0.515,0.404,0.355,0.409,0.477,0.43,0.407,0.441,0.5705,0.417,0.393,0.39,0.519,0.408,0.3055,0.404,0.43,0.00282825,0.00242077777777778,0.00153298214285714,0.0173342777777778,0.00285409243697479,0.0040407119487909,0.00397293371212121,0.00953563529411765,0.00281838177339902,0.00328725236167341,0.00352691397849462,0.00584505634920635,0.00310475,0.0032465,0.0008487,0.0280332111111111,0.00366956756756757,0.00367775384615385,0.00285522916666667,0.0113145698924731,0.00542125546218487,0.00566631294452347,0.00375873440285205,0.00460311470985155
"21",21,0.707,0.648,0.889,0.6925,0.655,0.77,0.69,0.743,0.6995,0.766,0.628,0.726,0.7305,0.609,0.614,0.6885,0.701,0.614,0.644,0.558,0.55,0.637,0.689,0.652,0.0205788571428571,0.0111994107142857,0.03228675,0.0196468,0.151927566502463,0.0280930056818182,0.0460418825757576,0.0493106524216524,0.0369852380952381,0.0284261186186186,0.0648589569892473,0.0323032159090909,0.0170044,0.0230791222222222,0.022829,0.0309168571428571,0.0177612575757576,0.0150733363363363,0.0330210285714286,0.0298946411411411,0.0299876723484848,0.0159542857142857,0.0605909396825397,0.0354872784090909
"22",22,0.47,0.503,0.4055,0.442,0.458,0.518,0.456,0.5095,0.438,0.501,0.482,0.4985,0.44,0.5705,0.4265,0.458,0.4795,0.534,0.466,0.528,0.437,0.527,0.479,0.536,0.00804377777777778,0.00404528888888889,0.00481578888888889,0.00500907142857143,0.00903834412955466,0.0225611655913978,0.00483914304993252,0.015991077540107,0.00680540042674253,0.0135357290322581,0.00564841591591592,0.00703186452762923,0.00708934444444445,0.0151206964285714,0.00215832222222222,0.0073396,0.0107383071428571,0.0190457056451613,0.00309325546218487,0.0234119161290323,0.0065180303030303,0.0173558571428571,0.00425481008403361,0.0136784232804233
"23",23,0.518,0.637,0.502,0.656,0.531,0.58,0.483,0.6135,0.448,0.448,0.435,0.483,0.4655,0.51,0.477,0.5575,0.4385,0.508,0.4515,0.535,0.4385,0.5115,0.46,0.52,0.00589180952380952,0.0178243333333333,0.00432457142857143,0.0240307,0.0143828948306595,0.00780265210084034,0.0117565333333333,0.00778402413793104,0.0135000587121212,0.011244381512605,0.01048505,0.0234150700757576,0.0139744107142857,0.00518386111111111,0.0102219523809524,0.00822136666666667,0.00948153253968254,0.0152465780780781,0.00896643447580645,0.00889841532258064,0.00431826114081997,0.0102612192513369,0.0101920291607397,0.0081380623655914
"24",24,1.012,0.994,0.908,1.053,0.7975,0.7425,0.805,0.782,0.883,0.6975,0.762,0.665,0.854,0.69,0.6655,0.699,0.6855,0.6515,0.6665,0.6505,0.642,0.613,0.639,0.592,0.0803793611111111,0.0510929821428572,0.0293322857142857,0.0420774107142857,0.0395908199643494,0.0696896506238859,0.0535799108734403,0.0279966761363636,0.0751637687687688,0.022212903968254,0.0516050623885918,0.0417200852272727,0.0988875,0.00801026785714286,0.00118735714285714,0.0215849444444444,0.0315733928571429,0.0651390322580645,0.0290931237553343,0.0335456857142857,0.0159962907563025,0.0351984753694581,0.0490676100840336,0.00776715465465465
"25",25,0.625,0.601,1.701,1.2425,0.665,0.719,1.802,1.265,0.6845,0.705,1.684,1.206,0.623,0.6155,1.381,1.195,0.666,0.625,1.472,1.184,0.668,0.668,1.489,1.0985,0.0423036111111111,0.011398,0.278479553571429,0.1078645,0.023835137815126,0.05373705,0.142092735294118,0.136744432432432,0.035768064516129,0.0285541471471471,0.34348291092437,0.0955931636636637,0.0388439555555556,0.00520026666666667,0.138135611111111,0.0936159444444444,0.0403016021021021,0.0274151038406828,0.152232436936937,0.149127502133713,0.0332361696696697,0.0159297449392713,0.329746412903226,0.0838980658730159
"26",26,0.5,0.546,0.609,0.81,0.557,0.517,0.5885,0.722,0.517,0.4695,0.5195,0.6705,0.51,0.482,0.584,0.6785,0.509,0.4885,0.555,0.677,0.489,0.4735,0.5335,0.683,0.00881398214285714,0.013715619047619,0.0039955,0.0177753571428571,0.0151940284090909,0.0103219804804805,0.0115733449197861,0.0141191534090909,0.00713502857142857,0.00759842067736185,0.0056606373015873,0.0125107139037433,0.0110368888888889,0.00767934444444444,0.00408477777777778,0.0305024107142857,0.00805748313090418,0.00539399715504979,0.00967964682539683,0.00797689900426743,0.0052174373015873,0.00704348253968254,0.00841928492063492,0.0104285928030303
"27",27,0.853,0.964,0.809,0.668,0.7285,0.6965,0.6825,0.66,0.774,0.6645,0.72,0.619,0.773,0.78,0.6425,0.52,0.723,0.6845,0.671,0.629,0.718,0.688,0.7415,0.619,0.070687,0.0383583,0.0431886964285714,0.00691036111111111,0.0237489492063492,0.0448004857397504,0.0254534687055477,0.016841451951952,0.0281274153225806,0.0126844786628734,0.0432937552552553,0.0184614317211949,0.0172556428571429,0.0604039444444444,0.00476066666666667,0.050825619047619,0.0402737298850575,0.0313344087301587,0.0460024278074866,0.0454165042016807,0.0440884084033613,0.0173967132132132,0.0633095706349206,0.0153717903225806
"28",28,0.809,0.9335,0.767,0.92,0.777,0.714,0.785,0.7515,0.79,0.7605,0.765,0.758,0.834,0.83,0.744,0.733,0.7595,0.767,0.8035,0.805,0.7705,0.753,0.7685,0.7605,0.0113848611111111,0.0540570714285714,0.027986,0.0184969523809524,0.0210453411764706,0.00936212121212121,0.0286865056818182,0.0155379264112903,0.010899847311828,0.012228174688057,0.0221466218487395,0.0132224253968254,0.0113366944444444,0.0583004444444444,0.0102541666666667,0.002052,0.0107626448275862,0.0180753032258065,0.0505920984615385,0.0285980927419355,0.0144584264112903,0.0145918012477718,0.0149849625668449,0.0200027310344828
"29",29,0.85,1.3065,0.691,0.987,0.713,0.721,0.772,0.744,0.606,0.6775,0.721,0.7015,0.657,0.993,0.5995,0.802,0.577,0.672,0.52,0.682,0.636,0.7045,0.547,0.585,0.290208944444444,0.235014571428571,0.513016,0.0164128095238095,0.408894285714286,0.207763334482759,0.16001594,0.27218888,0.102207565591398,0.108899150574713,0.0754708229885057,0.0829103229885057,0.101693142857143,0.258448361111111,0.204989955555556,0.183661267857143,0.60356647983871,0.119751479166667,0.103539232862903,0.171342683712121,0.202614197849462,0.0958760554435484,0.0792431231527094,0.0836630258064516
"30",30,0.55,0.393,0.503,0.696,0.5515,0.426,0.577,0.541,0.634,0.42,0.473,0.558,0.3105,0.29,0.308,0.279,0.442,0.303,0.269,0.349,0.4195,0.2975,0.2535,0.37,0.0436326666666667,0.0199497666666667,0.0256389821428572,0.0182778666666667,0.0250666935483871,0.00870092234848485,0.022421016091954,0.0292079291666667,0.0189112561576355,0.016849111827957,0.0210833201970443,0.0130973973684211,0.0166789666666667,0.0265671111111111,0.00978733333333333,0.0178822380952381,0.0225882579365079,0.00519706722689076,0.0239310933333333,0.0120900433333333,0.0146141022988506,0.0179952156862745,0.0220247566137566,0.0316914940711462
"31",31,0.5355,0.7745,0.5795,0.638,0.5665,0.6035,0.568,0.637,0.545,0.618,0.548,0.612,0.471,0.476,0.434,0.605,0.439,0.4905,0.4525,0.63,0.459,0.502,0.4485,0.619,0.0050489,0.0345519285714286,0.0116171111111111,0.0365254285714286,0.0196258571428571,0.0142185891265597,0.0133540453781513,0.0185557109243697,0.0208021378151261,0.0117790075757576,0.00912843049932524,0.00952647058823529,0.0127995,0.0713494444444445,0.00822075,0.0130615277777778,0.0120112567567568,0.0109382453769559,0.0134661479374111,0.0333522571428571,0.00854141141141141,0.0143088285714286,0.0157637588904694,0.0201244795698925
"32",32,0.647,0.935,0.884,1.355,1.0455,0.94,0.798,0.761,0.7885,0.762,0.736,0.7505,1.1115,1.004,0.987,1.152,0.86,0.828,0.7515,0.7365,0.749,0.7,0.7055,0.733,0.590689333333333,0.0354201666666667,0.286725866666667,0.7233983,0.122725441176471,0.0410229527629234,0.0661547936507936,0.0691078235294118,0.0702702571428571,0.0265690383244207,0.0595791058823529,0.0395846069518717,0.046208,0.0662739047619048,0.273829777777778,0.506307833333333,0.136369921182266,0.0662412102272727,0.0527912785714286,0.103621678571429,0.102672238916256,0.0376595642857143,0.0468446451612903,0.0392866218487395
"33",33,0.517,0.58,0.509,0.582,0.5475,0.5575,0.509,0.582,0.506,0.5405,0.511,0.543,0.515,0.5625,0.551,0.61,0.54,0.517,0.512,0.545,0.51,0.505,0.457,0.5415,0.00182125,0.00521667777777778,0.00401136666666667,0.00229706666666666,0.00357658108108108,0.00715373968253968,0.00498605871212121,0.0080749943019943,0.00472573123123123,0.00582670158730159,0.00699110516934047,0.00923884731182796,0.00284933333333333,0.0127773571428571,0.00471069444444444,0.00958011111111111,0.00426444827586207,0.00783200900900901,0.00869732903225806,0.00335481527093596,0.00652971092436975,0.00647136186186186,0.0091886935483871,0.00948491265597148
"34",34,0.49,0.675,0.5785,0.504,0.5095,0.571,0.628,0.595,0.534,0.566,0.5425,0.539,0.4655,0.5045,0.533,0.6645,0.4945,0.517,0.503,0.518,0.531,0.5455,0.494,0.51,0.00516626666666667,0.0265316190476191,0.0133642678571429,0.00239714285714286,0.009484291005291,0.012086064516129,0.02132726,0.0244184630541872,0.0274990227272727,0.0132078990147783,0.0190976214285714,0.0122359015384615,0.00799671111111111,0.0217491428571429,0.00620502777777778,0.00830457142857143,0.00999039540229885,0.0207227764550265,0.0123290731182796,0.0319133614718615,0.0349338789915966,0.0182265984615385,0.0160442462121212,0.0126608128078818
"35",35,0.578,0.4615,0.4625,0.5835,0.5115,0.4295,0.487,0.624,0.522,0.451,0.486,0.613,0.4995,0.466,0.529,0.735,0.446,0.433,0.475,0.6,0.46,0.429,0.4795,0.623,0.0246926111111111,0.0042543,0.006557125,0.0162166964285714,0.0132614571428571,0.0046760320855615,0.0219718218623482,0.00904724761904762,0.0563260928030303,0.00452146167557932,0.0107674823529412,0.00880567806267806,0.0265722142857143,0.00554878571428571,0.472942027777778,0.001252,0.0174251873015873,0.00225112731152205,0.301711349206349,0.00803066666666667,0.0109365882352941,0.0268885848739496,0.0602391683467742,0.01152336
"36",36,0.388,0.368,0.3885,0.4025,0.3755,0.3715,0.369,0.409,0.38,0.371,0.379,0.407,0.366,0.398,0.388,0.4395,0.371,0.381,0.389,0.403,0.361,0.368,0.3765,0.396,0.00185506666666667,0.001947,0.00127872222222222,0.00157164285714286,0.0015283,0.00165639682539683,0.00306220935960591,0.00214651827956989,0.00287904558404558,0.00276107507507507,0.00205921290322581,0.00337223655913979,0.00117666666666667,0.001709125,0.000892476190476191,0.00794457142857143,0.000814823655913978,0.00162460504201681,0.00179840608465608,0.00228863063063063,0.00194479569892473,0.00112197300944669,0.00216715057471264,0.00353167733990148
