"","sub","mu_1_htgt/hdst_.2","mu_1_htgt/ldst_.2","mu_1_ltgt/ldst_.2","mu_1_ltgt/hdst_.2","mu_1_htgt/hdst_.5","mu_1_htgt/ldst_.5","mu_1_ltgt/ldst_.5","mu_1_ltgt/hdst_.5","mu_1_htgt/hdst_.8","mu_1_htgt/ldst_.8","mu_1_ltgt/ldst_.8","mu_1_ltgt/hdst_.8","mu_2_htgt/hdst_.2","mu_2_htgt/ldst_.2","mu_2_ltgt/ldst_.2","mu_2_ltgt/hdst_.2","mu_2_htgt/hdst_.5","mu_2_htgt/ldst_.5","mu_2_ltgt/ldst_.5","mu_2_ltgt/hdst_.5","mu_2_htgt/hdst_.8","mu_2_htgt/ldst_.8","mu_2_ltgt/ldst_.8","mu_2_ltgt/hdst_.8","vari_1_htgt/hdst_.2","vari_1_htgt/ldst_.2","vari_1_ltgt/ldst_.2","vari_1_ltgt/hdst_.2","vari_1_htgt/hdst_.5","vari_1_htgt/ldst_.5","vari_1_ltgt/ldst_.5","vari_1_ltgt/hdst_.5","vari_1_htgt/hdst_.8","vari_1_htgt/ldst_.8","vari_1_ltgt/ldst_.8","vari_1_ltgt/hdst_.8","vari_2_htgt/hdst_.2","vari_2_htgt/ldst_.2","vari_2_ltgt/ldst_.2","vari_2_ltgt/hdst_.2","vari_2_htgt/hdst_.5","vari_2_htgt/ldst_.5","vari_2_ltgt/ldst_.5","vari_2_ltgt/hdst_.5","vari_2_htgt/hdst_.8","vari_2_htgt/ldst_.8","vari_2_ltgt/ldst_.8","vari_2_ltgt/hdst_.8"
"112",113,0.5185,0.514,0.449,0.695,0.5125,0.537,0.492,0.64,0.49,0.488,0.465,0.565,0.434,0.488,0.463,0.5915,0.4775,0.467,0.447,0.5745,0.451,0.452,0.4825,0.556,0.00891041071428572,0.00373427777777778,0.000805333333333333,0.0186384,0.00713358288770054,0.0087519375,0.0061667027027027,0.0213463712121212,0.00742805546218487,0.00511946396396396,0.0101553613445378,0.0144382660098522,0.00825098214285714,0.00483719444444445,0.00290045555555556,0.0301882777777778,0.0114622425320057,0.00469155195681511,0.0110058796791444,0.0226306595365419,0.00924521921921922,0.00361510158730159,0.0117989530583215,0.0112407277310924
"113",114,0.414,0.403,0.483,0.5835,0.453,0.452,0.524,0.577,0.4295,0.429,0.482,0.584,0.4465,0.4045,0.495,0.535,0.45,0.412,0.45,0.5865,0.453,0.424,0.4655,0.532,0.0109375277777778,0.00385352777777778,0.00299941071428572,0.0186865,0.0151437109243697,0.00821031309041836,0.0147272361673414,0.00754116428571429,0.0169778044096728,0.00610614709851552,0.00666875525525526,0.0178659219219219,0.0101456555555556,0.00484645555555556,0.00867344444444445,0.0264725714285714,0.010418709851552,0.00984902418207682,0.00468916825396825,0.0150235294117647,0.0152421936936937,0.00452294736842105,0.00686490396825397,0.00738353978494624
"114",115,0.4775,0.494,0.455,0.541,0.503,0.454,0.4775,0.549,0.464,0.433,0.458,0.4995,0.481,0.445,0.461,0.609,0.4815,0.4195,0.4865,0.632,0.4445,0.4085,0.447,0.528,0.0003844,0.011324,0.00616769642857143,0.0124292857142857,0.00400814778325123,0.00850634084084084,0.00669773015873016,0.00930357007575758,0.00545653556187767,0.00371957777777778,0.00337872063492063,0.00921630645161291,0.00570283928571429,0.00585115555555555,0.00227469642857143,0.0181308571428571,0.0041954,0.00287006587301587,0.00352319786096257,0.00901656111111111,0.00436055873015873,0.00296204871794872,0.00288803492063492,0.00993369411764706
"115",116,0.658,0.562,0.639,0.682,0.557,0.549,0.577,0.614,0.6035,0.6075,0.576,0.618,0.6015,0.5845,0.546,0.614,0.569,0.535,0.563,0.639,0.602,0.5415,0.582,0.645,0.0104885666666667,0.00551983333333333,0.00892527777777778,0.0304293888888889,0.0055711553030303,0.00364726512096774,0.00673528235294118,0.00890972522522522,0.0105527593582888,0.0186942290552585,0.00636124174174174,0.0181217560455192,0.0128839285714286,0.00557171428571429,0.0119300277777778,0.00765136666666667,0.00480443939393939,0.00779917234848485,0.00785345454545455,0.0130643200757576,0.0325727290322581,0.0123090126436782,0.0152908143939394,0.0131991354679803
"116",117,0.364,0.403,0.3565,0.385,0.379,0.39,0.3835,0.41,0.382,0.39,0.373,0.395,0.356,0.361,0.3635,0.3435,0.351,0.36,0.3805,0.3735,0.366,0.373,0.39,0.37,0.00223514285714286,0.0056585,0.00101416666666667,0.116811333333333,0.00276809852216749,0.00393062121212121,0.00183959655172414,0.0123548387096774,0.00790812605042017,0.00367092258064516,0.00233114438502674,0.00561253439153439,0.00281333333333333,0.00685114285714286,0.00372285714285714,0.0174443222222222,0.0038807207977208,0.00499294507575758,0.00300306048387097,0.0119569625668449,0.0030121553030303,0.00501456129032258,0.00576049621212121,0.00580154957983193
"117",118,0.589,0.492,0.544,0.608,0.512,0.466,0.4745,0.565,0.482,0.506,0.493,0.516,0.8565,0.556,0.633,0.5645,0.5385,0.489,0.48,0.6125,0.492,0.465,0.486,0.567,0.03042675,0.0175629523809524,0.0103706944444444,0.00937119444444444,0.0110675473484848,0.0200187311827957,0.0133760796370968,0.0167856950757576,0.0086938428030303,0.0150976951951952,0.0105643139784946,0.0156866456456456,0.0798653444444444,0.0430658095238095,0.00736542857142857,0.0376274107142857,0.0143169015873016,0.0136454924369748,0.00965253931451613,0.0194852751322751,0.00793188571428572,0.0221319025210084,0.00875656559139785,0.0292941354723708
"118",119,0.513,0.513,0.506,0.474,0.4825,0.523,0.524,0.508,0.516,0.529,0.501,0.495,0.425,0.428,0.4535,0.46,0.412,0.4305,0.4285,0.462,0.446,0.455,0.444,0.44,0.00248921111111111,0.00317685714285714,0.00862323809523809,0.00387966666666666,0.00579310962566845,0.0062854039408867,0.00913754367201426,0.00477971182795699,0.0104849046941679,0.0111786733333333,0.00656574628879892,0.00951259885057471,0.01012825,0.000943122222222222,0.00756604444444444,0.00410775,0.00418890184921764,0.0034792367816092,0.00327532620320856,0.0047249696969697,0.00259811612903226,0.00558529166666667,0.00816083529411765,0.00487113663663664
"119",120,0.685,0.663,0.7425,0.9175,0.663,0.702,0.784,0.802,0.7245,0.714,0.7255,0.764,0.775,0.7195,0.595,0.81,0.619,0.658,0.658,0.727,0.636,0.638,0.645,0.6825,0.0304517777777778,0.00885411111111111,0.0219355,0.0364233571428571,0.0176496275862069,0.0201462178030303,0.019142064516129,0.0323784781609195,0.0159930298850575,0.0115421983193277,0.0237384609195402,0.0253341098484848,0.0100682857142857,0.0411286666666667,0.0383872380952381,0.0180379444444444,0.0204939344729345,0.0171114301994302,0.0199429261363636,0.0212707178030303,0.0158836042780749,0.0199656741741742,0.0134818954022989,0.0153447396825397
"120",121,0.572,0.694,0.783,0.635,0.674,0.566,0.5585,0.612,0.445,0.5725,0.4765,0.649,0.5935,0.533,0.5295,0.569,0.492,0.6525,0.486,0.572,0.632,0.71,0.6195,0.6375,0.0260055111111111,0.0844789523809524,0.0345726964285714,0.03206225,0.0312267736185383,0.0485600471264368,0.0239771532051282,0.0254063280632411,0.0457881506238859,0.0342894126436782,0.040703359886202,0.0387854359605911,0.0251391428571429,0.0087687,0.0242192111111111,0.0187133,0.0484199365721997,0.0297472247983871,0.0225287462121212,0.0169667807486631,0.0431538907563025,0.0357131806451613,0.0366408172905526,0.0459297056451613
"121",122,0.545,0.793,0.6245,0.633,0.552,0.6225,0.545,0.623,0.552,0.551,0.5125,0.577,0.797,0.648,0.47,0.5855,0.4585,0.471,0.4615,0.608,0.464,0.451,0.447,0.513,0.0216075666666667,0.0748952777777778,0.0135680444444444,0.0572082,0.0292606321321321,0.0223406451612903,0.0090165,0.0163395,0.0108701611111111,0.0327809278074866,0.00768532361308677,0.00856743193277311,0.0860686964285714,0.063015,0.00843271111111111,0.0358194666666667,0.019747826458037,0.0266026924731183,0.00771167857142857,0.015843256916996,0.00628630499325236,0.0164732068965517,0.00686102564102564,0.0134183087121212
"122",123,0.752,0.75,0.558,0.997,0.756,0.829,0.626,0.807,0.828,0.7815,0.675,0.782,0.722,0.896,0.951,0.9315,0.7435,0.92,0.729,0.762,0.755,0.798,0.767,0.899,0.0918456111111111,0.0256976111111111,0.0850632111111111,0.0364713333333333,0.0459854705882353,0.0548177817460317,0.0996435285285285,0.0922482250712251,0.0658722192192192,0.0518547570564516,0.253753515966387,0.115798314393939,0.04877625,0.0421966944444445,0.1207455,0.0413575,0.0748039317211949,0.160212583333333,1.05982058704453,0.0422896945812808,0.0546789161290323,0.0465790816091954,1.6399086875,0.102271001893939
"123",124,0.454,0.393,0.4685,0.543,0.402,0.42,0.419,0.557,0.392,0.41,0.402,0.534,0.369,0.371,0.434,0.386,0.371,0.374,0.411,0.495,0.368,0.4175,0.399,0.4935,0.006561,0.0100432380952381,0.00656023333333333,0.0288,0.00718593543543544,0.00779878931451613,0.00668363725490196,0.0155500666666667,0.00409756989247312,0.00868075806451613,0.00847103238866397,0.0216265763157895,0.00855090476190476,0.00279861111111111,0.00672661111111111,0.00848761904761905,0.00563266755793226,0.00641873968705548,0.00880802580645161,0.0101204753694581,0.00614558734402852,0.00418238306451613,0.0061197247983871,0.0105542486772487
"124",125,0.716,0.813,0.536,0.625,0.851,0.7255,0.7735,0.633,0.828,0.784,0.732,0.565,0.7915,0.738,0.5755,0.6745,0.59,0.64,0.665,0.5535,0.586,0.7615,0.691,0.495,0.015138,0.0652566944444444,0.0171718095238095,0.0577706222222222,0.04946710591133,0.040342523015873,0.0553685454545454,0.0330220924369748,0.0458962192118227,0.0598394831309042,0.0506615197044335,0.0271203142857143,0.0195494666666667,0.0724542333333333,0.0158208392857143,0.0443827111111111,0.0382380333333333,0.0357358044871795,0.06457966,0.0313668967948718,0.0655639236842105,0.0313805606060606,0.0505300904761905,0.0224855341394026
"125",126,0.506,0.646,0.685,0.6835,0.6685,0.551,0.658,0.644,0.649,0.539,0.607,0.678,0.532,0.4805,0.535,0.5465,0.512,0.535,0.55,0.5675,0.549,0.518,0.526,0.5705,0.00756069642857143,0.0709471111111111,0.00915695238095238,0.0111597142857143,0.011010716733871,0.033945323015873,0.0249989630541872,0.0187824848484848,0.0159854260249554,0.0233394709851552,0.0118719545454545,0.0308454322580645,0.00458521111111111,0.00839478571428572,0.0358653571428572,0.0282106666666667,0.0102059966386555,0.0121469966386555,0.0250223172413793,0.0307234022988506,0.0244408611111111,0.021651668907563,0.0164169275362319,0.0205488
"126",127,0.495,0.468,0.441,0.5965,0.541,0.4935,0.495,0.6315,0.5195,0.508,0.4795,0.634,0.485,0.5285,0.426,0.725,0.49,0.4625,0.462,0.63,0.4595,0.49,0.4335,0.598,0.00441519444444444,0.002655,0.00224169444444445,0.0342708392857143,0.00514180448717949,0.0052866253968254,0.00636354117647059,0.0199534329710145,0.00327617142857143,0.00384771794871795,0.00441756258890469,0.0135393353846154,0.00402225,0.00890798214285714,0.00149944444444444,0.0169974761904762,0.00396188691322902,0.00377691954022989,0.00466005555555556,0.0146500421052632,0.00332684779516358,0.00344029915966386,0.00454338057040998,0.00687275714285714
"127",128,0.5545,0.4895,0.542,0.579,0.494,0.453,0.5245,0.578,0.516,0.484,0.5385,0.58,0.472,0.428,0.533,0.663,0.504,0.425,0.538,0.6385,0.489,0.436,0.473,0.62,0.0219764888888889,0.00800543333333334,0.00624061111111111,0.0124822333333333,0.00781945345345345,0.019330523015873,0.00536734135472371,0.0102288143939394,0.0105222634920635,0.00527600713012478,0.00902285396825397,0.0101313618538324,0.00705377777777778,0.00707706666666667,0.00768241071428572,0.0104287857142857,0.00733703225806451,0.00731682132132132,0.0074615990990991,0.00665069312169312,0.0056922012012012,0.00549402016806723,0.00939410588235294,0.0115349581280788
"128",129,0.576,0.732,0.685,0.702,0.641,0.645,0.608,0.65,0.619,0.583,0.647,0.707,0.561,0.563,0.577,0.769,0.593,0.5375,0.566,0.6665,0.592,0.523,0.573,0.6195,0.00186933333333333,0.0242957666666667,0.0221033777777778,0.00588232222222222,0.0144917867867868,0.0160492279569892,0.00982123655913979,0.011434951951952,0.0172563921568627,0.0128098428030303,0.0353009109243697,0.0193963296370968,0.00335977777777778,0.00355387777777778,0.00606467777777778,0.0153848095238095,0.0147104336134454,0.00670403492063492,0.00530225225225225,0.0167995816091954,0.0122437247510669,0.00716417741935484,0.00711667140825036,0.0222353326923077
"129",130,0.58,0.69,0.58,0.752,0.58,0.611,0.602,0.626,0.5175,0.493,0.499,0.514,0.53,0.584,0.553,0.535,0.467,0.457,0.4555,0.527,0.446,0.442,0.416,0.4265,0.0270358392857143,0.0176888571428571,0.0295476944444444,0.01375375,0.00979858558558559,0.014027669365722,0.0342396456456456,0.0126517512605042,0.0105174373015873,0.0076407201426025,0.00888556825396825,0.0061338963963964,0.0167092380952381,0.02287775,0.0266365714285714,0.01883975,0.00545322522522523,0.00805515158730159,0.01101265,0.0111372849206349,0.00663836470588235,0.0043878033033033,0.00526185435435435,0.00862478520625889
"130",131,0.447,0.377,0.406,0.458,0.46,0.392,0.392,0.482,0.489,0.408,0.374,0.475,0.379,0.3445,0.406,0.451,0.3945,0.3605,0.429,0.464,0.4005,0.3395,0.4435,0.48,0.0184912857142857,0.0163116964285714,0.0080795,0.0340613,0.0520236084033613,0.0162026954022989,0.0596356758893281,0.00729587464387465,0.0974069379310345,0.00947964731182796,0.0129888972332016,0.0457834102564103,0.00695245555555555,0.00872126785714285,0.011956,0.0130591555555556,0.00881502857142857,0.00375673684210526,0.016073291954023,0.0175790225225225,0.0089227201426025,0.00489312299465241,0.0130471428571429,0.137040861895161
"131",132,0.492,0.39,0.578,0.5265,0.4625,0.4625,0.4395,0.552,0.4595,0.401,0.444,0.4655,0.4655,0.461,0.397,0.5,0.425,0.392,0.434,0.4835,0.373,0.358,0.344,0.412,0.0115308392857143,0.0112161428571429,0.0113605714285714,0.00564026666666667,0.0097642253968254,0.00957619607843137,0.00789101264367816,0.00731207311827957,0.00821722142857143,0.0036737512605042,0.00808270967741936,0.00985036995967742,0.0189810666666667,0.005968125,0.00828706666666667,0.0128327,0.0081786559139785,0.00526568974358974,0.00802802795698925,0.0117857049910873,0.0069912,0.00367402631578947,0.00572782007575758,0.00465731439393939
"132",133,0.45,0.483,0.539,0.4725,0.4885,0.4875,0.542,0.535,0.46,0.493,0.5135,0.553,0.466,0.443,0.5215,0.49,0.4655,0.475,0.436,0.502,0.458,0.449,0.5195,0.481,0.0249538611111111,0.00728395238095238,0.017344,0.0080339,0.0106076762820513,0.013294862745098,0.0136904924369748,0.0174941978494624,0.00851943939393939,0.0142837254901961,0.0134391134920635,0.0209099892473118,0.0134476944444444,0.0005475,0.0241094333333333,0.0105388571428571,0.0120874563492063,0.0131442973484848,0.0142470170454545,0.0181876756302521,0.0119345840840841,0.0125031983193277,0.00949006451612903,0.0132195176470588
"133",134,0.541,0.476,0.458,0.456,0.517,0.4715,0.4965,0.4945,0.502,0.432,0.503,0.4685,0.4835,0.515,0.508,0.4855,0.459,0.455,0.481,0.463,0.4765,0.392,0.467,0.485,0.00930666666666667,0.00535980952380952,0.00358955357142857,0.00882086111111111,0.00935661673414305,0.0124313475935829,0.00898715508021391,0.00792780124777184,0.00833532019704433,0.00657159327731093,0.00666779166666667,0.00781392245989305,0.00688454444444445,0.00740284444444444,0.00711641071428572,0.00516621428571429,0.00785653603603603,0.00544708253968254,0.00880292745376956,0.0062531275862069,0.0114368991935484,0.0111024468253968,0.00765772916666667,0.00826472522522523
"134",135,0.511,0.489,0.5365,0.531,0.565,0.5545,0.557,0.543,0.5155,0.499,0.4965,0.508,0.53,0.603,0.479,0.453,0.496,0.498,0.498,0.487,0.476,0.455,0.4645,0.461,0.00508283928571429,0.023867,0.00541428571428571,0.00395044444444444,0.0127399569892473,0.0099200008912656,0.0079158428030303,0.0117239613445378,0.0109169527629234,0.00620290840840841,0.00539078520625889,0.00550959663865546,0.0157045714285714,0.0138625714285714,0.00519069444444444,0.0124488392857143,0.0107322352941176,0.0169952471264368,0.00718504196301565,0.00688145806451613,0.00598731792318634,0.00656155113636364,0.00575456773618538,0.0044920623655914
"135",136,0.769,0.65,0.612,0.751,0.672,0.6195,0.607,0.683,0.6425,0.632,0.601,0.636,0.738,0.608,0.6015,0.567,0.59,0.588,0.5995,0.592,0.582,0.593,0.56,0.6085,0.0392545277777778,0.01837525,0.028558,0.0317881111111111,0.0353883663663664,0.020116859886202,0.0194650780780781,0.0509538444444444,0.024942923015873,0.0237202307692308,0.00931083428165007,0.0204594009009009,0.0231275,0.0101923611111111,0.0721075111111111,0.0167815111111111,0.0359487777777778,0.0198479804804805,0.0248035362731152,0.0260356234817814,0.0290063252361673,0.0319273576248313,0.0234265883940621,0.0634288277777778
"136",137,0.452,0.481,0.4825,0.458,0.4455,0.472,0.434,0.465,0.428,0.432,0.44,0.445,0.458,0.471,0.465,0.497,0.4565,0.454,0.466,0.467,0.459,0.447,0.417,0.462,0.00404387777777778,0.00304096666666667,0.00343192857142857,0.0159505714285714,0.00297124682539683,0.0065272178030303,0.0030720928030303,0.00588477248677249,0.00480955871212121,0.00351094744744745,0.00391799663865546,0.0100521746031746,0.00767525,0.00433775,0.00554257142857143,0.0023582380952381,0.00286579737903226,0.00511069518716578,0.00475632007575758,0.00620727311827957,0.00327065210084034,0.0039627512605042,0.0056053731092437,0.0042362064516129
"137",138,0.436,0.426,0.408,0.427,0.4455,0.461,0.444,0.474,0.435,0.452,0.4395,0.4145,0.383,0.492,0.418,0.407,0.438,0.456,0.3995,0.4555,0.418,0.463,0.39,0.4225,0.00771696666666666,0.00835255357142857,0.0122399523809524,0.00482780952380953,0.012997294973545,0.0130436443850267,0.0111974466403162,0.0160796218487395,0.00767184782608696,0.00910141532258064,0.00505613421052631,0.00336696551724138,0.00892594444444444,0.0121357142857143,0.00927580952380953,0.00190880952380952,0.0076904756302521,0.00718292592592593,0.00872837142857143,0.00648154435483871,0.011439223655914,0.0126969697478992,0.00473273790322581,0.00775148461538461
"138",139,0.524,0.498,0.4705,0.735,0.4875,0.522,0.4805,0.57,0.4645,0.4595,0.472,0.5215,0.476,0.466,0.4545,0.525,0.443,0.458,0.47,0.549,0.433,0.418,0.4615,0.552,0.00918377777777778,0.00383377777777778,0.00349156666666667,0.0215062380952381,0.00316846159317212,0.00625907007575757,0.00415880873015873,0.0064446553030303,0.00315772190611664,0.00185492745376956,0.00468734637268848,0.00666466358463727,0.0106944888888889,0.00272227777777778,0.00523155555555556,0.012458125,0.00729739831932773,0.00309619487179487,0.00260083193277311,0.00555048739495798,0.00373467341430499,0.0024605873015873,0.00349973826458037,0.00774741741741742
"139",140,0.522,0.552,0.55,0.5,0.541,0.5205,0.5205,0.5835,0.512,0.5245,0.5115,0.575,0.52,0.5195,0.525,0.5835,0.493,0.506,0.4885,0.6185,0.51,0.507,0.504,0.6215,0.00571675,0.0245474444444444,0.0105298611111111,0.00450277777777778,0.0083897731092437,0.00474138608870968,0.00514789304812834,0.00933545811051693,0.00722947682709447,0.00681457486631016,0.00456789037433155,0.00818019831932773,0.00617494444444444,0.0071,0.0072561,0.010412,0.00776669365721997,0.00673286363636364,0.00539882857142857,0.0157656444444444,0.00500001587301587,0.00777068618618619,0.00862193927125506,0.012776216733871
"140",141,0.597,0.662,0.539,0.622,0.5885,0.68,0.641,0.7645,0.6365,0.607,0.6,0.66,0.529,0.531,0.541,0.6485,0.5585,0.608,0.573,0.636,0.498,0.535,0.477,0.5945,0.032656,0.0093452,0.00495976666666667,0.1923671,0.0242731891891892,0.0245940580645161,0.0573186373015873,0.0288838153846154,0.0192735115864528,0.0103491212121212,0.0157862727272727,0.0133772946236559,0.00432586666666667,0.0193978666666667,0.003758,0.1219968,0.150577592391304,0.0336497179487179,0.0744463425925926,0.0187813105413105,0.0125755242165242,0.0238059655172414,0.0266085270935961,0.0212285850574713
"141",142,0.46,0.379,0.429,0.413,0.4165,0.413,0.426,0.515,0.3935,0.39,0.412,0.473,0.4315,0.331,0.398,0.4275,0.38,0.357,0.382,0.402,0.3685,0.337,0.388,0.4005,0.0038393,0.00292225,0.00539980952380952,0.0362902380952381,0.00297375846702317,0.00588938051209104,0.00387138505747126,0.0123668374384236,0.00096254435483871,0.00314622352941176,0.00268107007575758,0.00413142118226601,0.00278078571428571,0.00245225,0.00541475,0.0206225714285714,0.0033638768939394,0.00295625525525526,0.00133402142857143,0.00795877840909091,0.00223478431372549,0.00246050189393939,0.0021714039408867,0.00635905258467023
"142",143,0.454,0.494,0.4475,0.601,0.526,0.549,0.519,0.575,0.486,0.5265,0.56,0.559,0.443,0.399,0.481,0.552,0.4775,0.453,0.471,0.5615,0.4475,0.493,0.462,0.532,0.00945057142857143,0.0156785535714286,0.0213282142857143,0.00987428571428571,0.0138931212121212,0.00760529144385027,0.00933704433497537,0.0175576365591398,0.0129433813813814,0.0100282328629032,0.0142231612903226,0.0198232518939394,0.005873125,0.00377569642857143,0.0162224107142857,0.016056,0.00801193968253968,0.00596133949579832,0.00437757647058824,0.00931103743315508,0.00963756666666667,0.00876644537815126,0.0126041889483066,0.00654549243697479
"143",144,0.405,0.4995,0.4055,0.561,0.425,0.485,0.42,0.517,0.413,0.47,0.393,0.503,0.399,0.518,0.382,0.536,0.421,0.499,0.422,0.518,0.4185,0.467,0.404,0.517,0.005658,0.0137638392857143,0.0078604,0.0024933,0.00663128253968254,0.00472147983870968,0.00595031428571429,0.0125910292397661,0.00564933333333333,0.00443007122507122,0.00484533033033033,0.00769222134387352,0.009001,0.00408361111111111,0.00707025,0.00992306666666667,0.00694203603603604,0.00315424901185771,0.006258503003003,0.00894288,0.00562265433854908,0.00275118233618234,0.0053232987987988,0.00834005666666667
"144",145,0.8495,0.758,1.208,0.686,0.772,0.775,0.795,0.656,0.8015,0.739,0.739,0.639,0.601,0.6305,0.6145,0.775,0.651,0.685,0.6285,0.688,0.6075,0.6005,0.595,0.605,1.39192946666667,0.000393000000000001,2.7751163,0.00973691666666666,0.103524852216749,0.030388003968254,0.257916135384615,0.03747591,1.35629989919355,0.0157130619047619,0.342776206451613,0.0161760753846154,0.2227323,0.0176947,0.00469914285714285,0.0139612,0.0248676468253968,0.0135560264550265,0.0150310322580645,0.0187208866995074,0.00932334576612903,0.0162090687830688,0.0179744666666667,0.0156186625615764
"145",146,0.471,0.487,0.504,0.721,0.433,0.48,0.459,0.556,0.4365,0.459,0.427,0.506,0.474,0.4865,0.4805,0.816,0.443,0.4735,0.489,0.575,0.45,0.4275,0.486,0.574,0.00459802777777778,0.0132271111111111,0.00978594444444444,0.0284074444444444,0.0057230756302521,0.0039184,0.0071709009009009,0.0151478433333333,0.00542076428571429,0.00809336470588235,0.00347109893048128,0.00931354985754986,0.00316790476190476,0.00555351111111111,0.0091988,0.0698966964285714,0.00353781008403361,0.00573391935483871,0.0114442040998217,0.0180358008658009,0.00700351596638656,0.00741995105820106,0.00849207963709677,0.0103632753846154
"146",147,0.543,0.5605,0.587,0.583,0.479,0.5295,0.4965,0.561,0.4585,0.587,0.486,0.516,0.506,0.767,0.5965,0.516,0.4365,0.4965,0.461,0.5195,0.436,0.5155,0.472,0.4765,0.00713848888888889,0.0678667857142857,0.0124304,0.0208333611111111,0.00887290420168067,0.0221812843915344,0.00483500711237553,0.0199909462184874,0.00426863492063492,0.0165307178030303,0.0127023598484848,0.00338082857142857,0.00687395238095238,0.0461533611111111,0.0460510666666667,0.0352045,0.011992243315508,0.0177770989304813,0.0186553295454545,0.0209961611111111,0.0127136898395722,0.00802765576102418,0.0168774062078273,0.00461094920634921
"147",148,0.748,0.6425,0.606,0.722,0.624,0.7425,0.601,0.663,0.616,0.639,0.625,0.624,0.538,0.6,0.697,0.655,0.636,0.638,0.5675,0.714,0.563,0.632,0.585,0.6555,0.0241332380952381,0.0173622857142857,0.00993061111111111,0.0160636111111111,0.015476487987988,0.0250752920634921,0.0156237522522523,0.027571843697479,0.0119792950089127,0.0149216825396825,0.00825308064516129,0.0176218981481482,0.00608575,0.00643594444444445,0.0177231944444444,0.0270295277777778,0.0164531553030303,0.0216658978978979,0.0107725420634921,0.0292123576248313,0.00874442105263158,0.0203218285714286,0.00539583033033033,0.0214490623885918
"148",149,0.68,0.769,0.5655,0.826,0.6095,0.685,0.542,0.756,0.597,0.719,0.541,0.771,0.493,0.616,0.665,0.6395,0.504,0.531,0.499,0.59,0.473,0.542,0.501,0.5145,0.00940726785714285,0.008646,0.0110277142857143,0.0264974444444444,0.0417519586206897,0.0171030883190883,0.0114642403361345,0.0493536938405797,0.0170009025210084,0.0266093712121212,0.0125097647058824,0.0328854009009009,0.00539436111111111,0.025113125,0.0237079523809524,0.0139471428571429,0.011001036036036,0.0158449223484848,0.00957441820768136,0.0372482064516129,0.00692400634920635,0.0275918235294118,0.00525823423423423,0.0193763538306452
"149",150,0.943,0.8885,0.968,0.718,0.667,0.6265,0.69,0.649,0.537,0.57,0.515,0.5555,0.743,0.815,0.829,0.79,0.6515,0.6445,0.684,0.684,0.5175,0.5465,0.511,0.5445,0.0348763333333333,0.046966,0.0493277142857143,0.0882547,0.0272338924731183,0.0136646935483871,0.0317753731092437,0.0209725473484849,0.00842804354354354,0.0046372218487395,0.0119659446693657,0.00797528307254623,0.0598289523809524,0.110482619047619,0.013217619047619,0.0200537,0.0164426884779516,0.0221019637096774,0.0225572834008097,0.0201823002645503,0.00970684495021337,0.0109785640113798,0.0044053033033033,0.00750044295900178
