ID,Mindfulness Score,Impulsivity Score
1,,2.433
2,3.08,1.633
3,,1.967
4,,2.067
5,,2.733
6,,2.167
7,,2.067
8,3.45,1.833
9,2.63,2.069
10,,2.400
11,,1.733
12,2.84,2.100
13,,2.267
14,3.47,1.667
15,,2.533
16,,2.133
17,,1.733
18,2.66,1.800
19,3.21,1.867
20,2.39,1.967
21,,2.033
22,,2.267
23,2.72,2.133
24,3.45,1.733
25,2.50,2.300
26,3.37,2.967
27,3.13,2.400
28,3.06,2.133
29,3.00,2.667
30,3.53,2.100
31,3.21,1.800
32,3.05,2.400
33,3.68,1.600
34,2.53,2.700
35,2.92,2.733
36,4.11,1.533
37,2.53,2.200
38,3.74,1.567
39,2.79,2.067
40,2.68,3.067
41,3.18,2.133
42,3.05,2.367
43,2.97,1.967
44,3.05,1.867
45,3.00,2.067
46,2.97,2.333
47,2.89,1.733
48,2.37,2.533
49,3.87,1.600
50,3.95,1.333
51,3.42,1.733
52,3.03,2.267
53,2.97,2.033
54,3.24,2.400
55,2.92,2.733
56,3.00,2.200
57,3.00,2.448
58,3.18,2.233
59,3.29,2.433
60,3.79,1.600
61,2.53,2.900
62,2.66,1.759
63,3.38,2.300
64,3.00,2.133
65,2.82,2.300
66,3.32,1.567
67,3.05,2.200
68,4.18,1.967
69,3.29,2.100
70,3.47,2.300
71,3.37,1.833
72,3.13,1.867
73,2.87,2.367
74,2.95,2.333
75,,2.067
76,3.26,2.033
77,3.37,1.600
78,,2.300
79,3.05,1.900
80,3.08,2.200
81,,1.933
82,,2.200
83,,2.000
84,,1.933
85,,2.133
86,,2.200
87,,2.333
88,3.42,2.000
89,,2.300
90,3.11,2.133
91,,1.767
92,3.00,2.067
93,3.39,2.033
94,,1.867
95,,2.433
96,,2.000
97,,2.448
98,3.26,2.167
99,,1.800
100,,2.733
101,,2.967
102,3.18,2.200
103,,2.300
104,2.92,2.500
105,,2.100
106,,1.767
107,2.92,1.967
108,2.95,2.033
109,2.61,2.233
110,3.27,1.733
111,,2.233
112,3.13,2.393
113,,1.933
114,3.50,2.167
115,3.61,1.967
116,3.63,1.967
117,,2.433
118,2.89,2.333
119,3.68,2.033
120,,2.100
121,3.37,2.233
122,,1.967
123,,2.300
124,,2.586
125,3.29,2.233
126,,1.667
127,3.62,2.100
128,3.66,2.233
129,,2.172
130,2.89,2.433
131,3.34,2.233
132,,2.700
133,3.29,1.667
134,3.05,2.667
135,3.00,2.033
136,,2.967
137,,2.333
138,,2.567
139,3.00,2.033
140,2.66,2.214
141,,2.467
142,3.32,2.100
143,3.27,2.200
144,,2.500
145,3.21,2.567
146,3.03,2.167
147,3.55,1.967
148,3.14,2.533
149,3.21,1.967
150,3.82,1.933